backgroundImages,endDate,eventUrl,description,listingType,eventAdmin,preProduction,autoAssociateVod,title,tags,lobbyTimeMinutes,unlisted,shortcutName,shortcutNameUrl,linkedVideoId,id,categories,startDate,estimatedAttendees,redirectVod
[],2018-01-16T19:15:00Z,https://cerner.rev.vbrick.com/#/events/2b4129e8-7205-4cd6-bc57-3c08cc06c47a,,AllUsers,"{name:Melissa Woodson,id:f18b4500-d98c-4798-bf75-25aa2b91acc3,username:mt029422}",null,false,DevCon CFP Tips and Tricks,[],15,false,null,null,null,2b4129e8-7205-4cd6-bc57-3c08cc06c47a,[],2018-01-16T17:45:00Z,0,false
[],2018-01-17T12:00:00Z,https://cerner.rev.vbrick.com/#/events/22859c7b-6df9-4907-8f32-2632123654ae,,AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream,[],15,false,null,null,null,22859c7b-6df9-4907-8f32-2632123654ae,[],2018-01-17T04:00:00Z,0,false
[],2018-01-17T21:15:00Z,https://cerner.rev.vbrick.com/#/events/61f03dbb-25cf-4c1d-9e77-bafcaf96ab1c,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,External Tech Talk with Jessica Kerr,[],15,false,null,null,null,61f03dbb-25cf-4c1d-9e77-bafcaf96ab1c,[],2018-01-17T19:30:00Z,0,false
[],2018-01-18T10:45:00Z,https://cerner.rev.vbrick.com/#/events/b2aba9cf-8139-4ed9-b1ec-f433043ff415,"<p>Get to Know Cloud-101</p>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,CTS-Tech Talks,[],15,false,null,null,null,b2aba9cf-8139-4ed9-b1ec-f433043ff415,[],2018-01-18T09:15:00Z,0,false
[],2018-01-18T20:00:00Z,https://cerner.rev.vbrick.com/#/events/66cf7bef-8dbd-4274-bd12-d6b6345523f0,"<p>While most of us are aware meal planning can have positive impacts on our budget and health, you may avoid prepping for the week because the process seems complicated, time-consuming or you don’t even know where to begin. In this class, a Healthe Clinic Registered Dietitian will provide tips, tricks and resources to help make meal planning less overwhelming and&nbsp;more itegrated in your routine.</p><p><span style=color: rgb(255, 0, 0)><strong><u>TO EARN HLwR POINTS:</u> You must watch the entirety of this recording. A report will be pulled 30 days after the&nbsp;recording date and points will be uploaded. (You DO NOT need to email 3 things learned). </strong></span></p>",AllUsers,"{name:Samantha McCullough,id:e297e29e-133b-4d3f-b87d-71bd5406c606,username:sm033486}",null,false,Meal Planning 101,[],15,false,null,null,null,66cf7bef-8dbd-4274-bd12-d6b6345523f0,[],2018-01-18T19:00:00Z,0,false
[],2018-01-18T21:15:00Z,https://cerner.rev.vbrick.com/#/events/551720ad-6336-4d7c-bb99-be846449a712,,AllUsers,"{name:Melissa Woodson,id:f18b4500-d98c-4798-bf75-25aa2b91acc3,username:mt029422}",null,false,Terra/ Kaiju Quarterly Demo,[],15,false,null,null,null,551720ad-6336-4d7c-bb99-be846449a712,[],2018-01-18T19:45:00Z,0,false
[],2018-01-18T23:00:00Z,https://cerner.rev.vbrick.com/#/events/dc69d663-4fc7-41c2-b1ad-b5fa12af7f4e,"<p>SafeKC Meetup</p>",AllUsers,"{name:Chris Hanson,id:28f08100-3482-4b81-8ba4-d5ed50798262,username:ch049839}",null,false,SafeKC Meetup,[],15,false,null,null,null,dc69d663-4fc7-41c2-b1ad-b5fa12af7f4e,[],2018-01-18T21:30:00Z,0,false
[],2018-01-19T12:00:00Z,https://cerner.rev.vbrick.com/#/events/74e48d95-fb20-493e-a58b-b726f5dcf7ef,"<p>Testing for Multicast</p>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream,[],15,false,null,null,null,74e48d95-fb20-493e-a58b-b726f5dcf7ef,[],2018-01-19T03:30:00Z,0,false
[],2018-01-23T15:45:00Z,https://cerner.rev.vbrick.com/#/events/5935a9dc-037d-4595-9b3d-24b8b9baca12,"<p>Location: H2 1st Floor, Associate support</p><ul><li>Attendees: EUC india nad Shows and Events India</li><li>SET CME Owner&nbsp; Sadanand.</li><li>Onsite SET Associate: Sadanand and Shameer</li></ul>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream,[],15,false,null,null,null,5935a9dc-037d-4595-9b3d-24b8b9baca12,[],2018-01-23T14:15:00Z,0,false
[],2018-01-23T22:00:00Z,https://cerner.rev.vbrick.com/#/events/a02964e2-025d-4f3f-aa9d-7a4c0f5fe75a,"<p>Join Cerner Dietitians in the first part of our 2018 Gardening Series! Learn about how to effectively plan your garden and start your seedlings. You will also learn about some great resources you can utilize in your gardening endeavors.&nbsp;&nbsp;</p><p><span style=color: rgb(255, 0, 0)><strong><u>TO EARN HLwR POINTS:</u> You must watch the entirety of this recording. A report will be pulled 30 days after the&nbsp;recording date and points will be uploaded. (You DO NOT need to email 3 things learned).</strong></span></p>",AllUsers,"{name:Samantha McCullough,id:e297e29e-133b-4d3f-b87d-71bd5406c606,username:sm033486}",null,false,Planning Your Garden,[],15,false,null,null,null,a02964e2-025d-4f3f-aa9d-7a4c0f5fe75a,[],2018-01-23T21:00:00Z,0,false
[],2018-01-24T13:30:00Z,https://cerner.rev.vbrick.com/#/events/dfa9c47e-98e2-4934-b324-924fb52541dc,,AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Event Test,[],15,false,null,null,null,dfa9c47e-98e2-4934-b324-924fb52541dc,[],2018-01-24T03:30:00Z,0,false
[],2018-01-24T20:30:00Z,https://cerner.rev.vbrick.com/#/events/a85a8ed0-3ca5-425d-88db-f866435437d6,"<p>Start 2018 off right! Join a Healthe Fitness Specialist and Wellness Coach&nbsp;as they talk about setting specific goals&nbsp;to help&nbsp;you achieve your desired nutrition and fitness outcomes for the year. It's often easy to set&nbsp;up your&nbsp;goals each yet, but&nbsp;it can be&nbsp;hard to follow through and achieve them. Learn how to set goals that can be reached and are obtainable, yet challenging.</p><p><span style=color: rgb(255, 0, 0)><strong><u>TO EARN HLwR POINTS:</u> You must watch the entirety of this recording. A report will be pulled 30 days after the&nbsp;recording date and points will be uploaded. (You DO NOT need to email 3 things learned). </strong></span></p>",AllUsers,"{name:Samantha McCullough,id:e297e29e-133b-4d3f-b87d-71bd5406c606,username:sm033486}",null,false,Healthe SMART Goal Setting,[],15,false,null,null,null,a85a8ed0-3ca5-425d-88db-f866435437d6,[],2018-01-24T19:30:00Z,0,false
[],2018-01-24T21:15:00Z,https://cerner.rev.vbrick.com/#/events/8567a742-60ac-4827-aa0d-4f923ed1eade,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,DE Tech Talk with Chris Finn,[],15,false,null,null,null,8567a742-60ac-4827-aa0d-4f923ed1eade,[],2018-01-24T19:45:00Z,0,false
[],2018-01-25T19:00:00Z,https://cerner.rev.vbrick.com/#/events/56903c67-aa7a-4492-a26a-79885cd7ed9f,"<p>Mindfulness is abuzz all around us. It’s in the media, discussed in self-help books and offered in apps on your smartphone. But what does it really mean to be mindful?&nbsp;This class will help you understand the history of mindfulness and help you identify ways you can regularly utilize mindfulness.</p><p><span style=color: rgb(255, 0, 0)><strong><u>TO EARN HLwR POINTS:</u> You must watch the entirety of this recording. A report will be pulled 30 days after the&nbsp;recording date and points will be uploaded. (You DO NOT need to email 3 things learned). </strong></span></p>",AllUsers,"{name:Samantha McCullough,id:e297e29e-133b-4d3f-b87d-71bd5406c606,username:sm033486}",null,false,Mindfulness 101,[],15,false,null,null,null,56903c67-aa7a-4492-a26a-79885cd7ed9f,[],2018-01-25T18:00:00Z,0,false
[],2018-01-25T22:30:00Z,https://cerner.rev.vbrick.com/#/events/c226a374-793c-489a-be0a-4c466dc88aaf,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,CTS Q1 2018 Town Hall,[],15,false,null,null,null,c226a374-793c-489a-be0a-4c466dc88aaf,[],2018-01-25T18:45:00Z,0,false
[],2018-01-26T21:45:00Z,https://cerner.rev.vbrick.com/#/events/d0a8141a-745d-4517-8074-ea7fca826946,"<p>The Q1 Town Hall will include a Personal Health Story, Tech Talk on containers, Recap of 2017, Associate Recognition, Client Sat Survey Results, update from CWx Malvern, Associate Engagement Survey Results, as well as a kick-off for 2018.&nbsp; Hope you can join us!</p>",AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,CernerWorks Q1 Town Hall,[],15,false,null,null,null,d0a8141a-745d-4517-8074-ea7fca826946,[],2018-01-26T18:45:00Z,0,false
[],2018-01-26T19:45:00Z,https://cerner.rev.vbrick.com/#/events/1a73114c-c891-4ee5-9153-9d08cd562b80,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Consulting Connect with Farrell Sanders,[],15,false,null,null,null,1a73114c-c891-4ee5-9153-9d08cd562b80,[],2018-01-26T18:45:00Z,0,false
[],2018-01-30T12:00:00Z,https://cerner.rev.vbrick.com/#/events/f2e5f22c-857f-46cb-b13c-9584f5cfcb01,"<p>Test Stream to resolve multicast issue</p>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream,[],15,false,null,null,null,f2e5f22c-857f-46cb-b13c-9584f5cfcb01,[],2018-01-30T03:15:00Z,0,false
[],2018-01-31T11:15:00Z,https://cerner.rev.vbrick.com/#/events/59074284-ea56-4ea9-9e10-9312892878d4,"<p><strong><u><span style=font-size: 11pt>India Connect Live 2018</span></u></strong></p><p>Location: H2, Manyata Embassy Business Park, Bangalore, India</p><p>&nbsp;</p>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Connect Live 2018,[],15,false,null,null,null,59074284-ea56-4ea9-9e10-9312892878d4,[],2018-01-31T07:45:00Z,0,false
[],2018-01-31T21:15:00Z,https://cerner.rev.vbrick.com/#/events/d05ed6ea-c3b1-440f-97ba-f5034b36644e,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Ext Tech Talk: A Field Guide for Male Allies with Karen Catlin,[],15,false,null,null,null,d05ed6ea-c3b1-440f-97ba-f5034b36644e,[],2018-01-31T19:45:00Z,0,false
[],2018-02-13T12:00:00Z,https://cerner.rev.vbrick.com/#/events/d9e1807b-a564-422b-b489-510c7766cf3a,"<p>Location: H2 Awing 8th floor</p>",Private,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Livestream testing,[],15,false,null,null,null,d9e1807b-a564-422b-b489-510c7766cf3a,[],2018-02-13T09:00:00Z,0,false
[],2018-02-13T17:48:00Z,https://cerner.rev.vbrick.com/#/events/2521310f-5de7-4db5-8a96-79cd092664ea,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,ES Town Hall,[],15,false,null,null,null,2521310f-5de7-4db5-8a96-79cd092664ea,[],2018-02-13T13:45:00Z,0,false
[],2018-02-14T16:35:00Z,https://cerner.rev.vbrick.com/#/events/84327eb2-efaa-4107-a490-5ff45e77d125,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Testing Fair Session #1,[],15,false,null,null,null,84327eb2-efaa-4107-a490-5ff45e77d125,[],2018-02-14T15:45:00Z,0,false
[],2018-02-14T18:31:00Z,https://cerner.rev.vbrick.com/#/events/fb316ae1-e110-42ba-b29c-d21c7970ffb4,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Testing Fair Session #2,[],15,false,null,null,null,fb316ae1-e110-42ba-b29c-d21c7970ffb4,[],2018-02-14T17:45:00Z,0,false
[],2018-02-14T20:00:00Z,https://cerner.rev.vbrick.com/#/events/fa01ed7f-8650-4d5d-a07c-d898bc5e0e67,"<p>When it comes to the latest workout trends, it can be difficult to discern the difference between what really works and what is just too good to be true. Join two of our Healthe Fitness Center Specialists as they separate fact from fiction and bust some of those common fitness myths we hear every day. In this class, you will learn the truths about exercising, fat burning and muscle building.&nbsp;Let’s uncover the truth!</p><p><strong><span style=color: rgb(255, 0, 0)><u>TO EARN HLwR POINTS:</u> You must watch the entirety of this class. You will automatically receive points two weeks after class date. (You DO NOT need to email&nbsp;three things learned). </span></strong></p><p>Please contact Associate Support for any technical issues at 1-Help (816.201.4357).</p>",AllUsers,"{name:Samantha McCullough,id:e297e29e-133b-4d3f-b87d-71bd5406c606,username:sm033486}",null,false,Healthe Myth Busters,[],15,false,null,null,null,fa01ed7f-8650-4d5d-a07c-d898bc5e0e67,[],2018-02-14T19:00:00Z,0,false
[],2018-02-15T17:45:00Z,https://cerner.rev.vbrick.com/#/events/60fa1882-f30d-43e1-87d6-ade044d11cc6,,AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream,[],15,false,null,null,null,60fa1882-f30d-43e1-87d6-ade044d11cc6,[],2018-02-15T15:00:00Z,0,false
[],2018-02-16T11:30:00Z,https://cerner.rev.vbrick.com/#/events/7697d84a-e666-4c57-ba5a-867ef6b3acb6,"<p>Location: H2 Awing 8th Training Room</p>",Private,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream,[],15,false,null,null,null,7697d84a-e666-4c57-ba5a-867ef6b3acb6,[],2018-02-16T07:30:00Z,0,false
[],2018-02-20T19:00:00Z,https://cerner.rev.vbrick.com/#/events/a187a330-34e1-4586-bb51-5c7df90203ac,"<p>From social media to advertisements on TV, each day, we’re bombarded with information about different workout programs. With all these competing workout avenues, it can be intimating and difficult to decipher what truly delivers results, safely and effectively. Join our Healthe Fitness Center Specialists as they discuss the why behind different categories of training and how they work in conjunction with one another. It's important to keep things balanced when it comes to your workout routine!</p><p><strong><span style=color: rgb(255, 0, 0)><u>TO EARN HLwR POINTS:</u> You must watch the entirety of this class. You will automatically receive points two weeks after class date. (You DO NOT need to email&nbsp;three things learned). </span></strong></p><p>Please contact Associate Support for any technical issues at 1-Help (816.201.4357).</p>",AllUsers,"{name:Samantha McCullough,id:e297e29e-133b-4d3f-b87d-71bd5406c606,username:sm033486}",null,false,Keeping Your Fitness Balanced,[],15,false,null,null,null,a187a330-34e1-4586-bb51-5c7df90203ac,[],2018-02-20T18:00:00Z,0,false
[],2018-02-22T04:00:00Z,https://cerner.rev.vbrick.com/#/events/478e1452-725d-4ee6-b8e4-fe8557a7bce0,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Livestream Test Wednesday,[],15,false,null,null,null,478e1452-725d-4ee6-b8e4-fe8557a7bce0,[],2018-02-21T02:00:00Z,0,false
[],2018-02-22T19:00:00Z,https://cerner.rev.vbrick.com/#/events/9f0a972e-b335-4ea8-b0b8-9aca47b82f9d,"<p>We are all communicators in way one or another. Because we all have different desires in our relationships with coworkers, family and friends, we each communicate differently. In this class, two of our Healthe Clinic Wellness Coaches will discuss the five love languages (as described in the book, “The Five Love Languages,” by Gary Chapman), and how you can utilize this knowledge to foster healthier relationships and communicate more effectively with those around you.</p><p><em>Audio will come from your device's speakers. There is not a conference call for this webinar.</em></p><p><strong>*Please Note*</strong><em><span style=color: rgb(87, 87, 87)> </span></em><strong><em>The session will be available over Cerner Associate Live Broadcast on that day and time. </em></strong><strong>You will not be able to access the webcast over a VPN connection. Currently, the webcast will only work with Google Chrome, Firefox, IE, Safari, iOS, and Android. </strong></p><p><strong><span style=color: rgb(255, 0, 0)><u>TO EARN HLwR POINTS:</u> You must watch the entirety of this class. You will automatically receive points two weeks after class date. (You DO NOT need to email&nbsp;three things learned). </span></strong></p><p>Please contact Associate Support for any technical issues at 1-Help (816.201.4357).</p>",AllUsers,"{name:Samantha McCullough,id:e297e29e-133b-4d3f-b87d-71bd5406c606,username:sm033486}",null,false,Fostering Effective Communication,[],15,false,null,null,null,9f0a972e-b335-4ea8-b0b8-9aca47b82f9d,[],2018-02-22T18:00:00Z,0,false
[],2018-02-22T20:30:00Z,https://cerner.rev.vbrick.com/#/events/b1645036-3cf6-4591-a87e-844d05b48ab7,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Livestream Malvern Test,[],15,false,null,null,null,b1645036-3cf6-4591-a87e-844d05b48ab7,[],2018-02-22T19:30:00Z,0,false
[],2018-02-23T12:00:00Z,https://cerner.rev.vbrick.com/#/events/d4d1fa65-7cc8-4ca2-8ee2-29782e94558a,,Private,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Livestream Dubia Test,[],15,false,null,null,null,d4d1fa65-7cc8-4ca2-8ee2-29782e94558a,[],2018-02-23T03:00:00Z,0,false
[],2018-02-23T05:00:00Z,https://cerner.rev.vbrick.com/#/events/93df60d9-9d17-4abe-b182-8fe6b69e599f,"<p>Location: H2&nbsp;A WING 8TH FLOOR 8B1 AND 8B2</p>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream for connect live,[],15,false,null,null,null,93df60d9-9d17-4abe-b182-8fe6b69e599f,[],2018-02-23T04:00:00Z,0,false
[],2018-02-23T07:15:00Z,https://cerner.rev.vbrick.com/#/events/aa1898cf-2ba0-4b6a-9280-d1dfa381dc11,"<p>CTS Enterprise security India</p><p>Location: H2 A wing 8B1&amp;8B2</p>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Connect Live with our Chief Security Officer,[],15,false,null,null,null,aa1898cf-2ba0-4b6a-9280-d1dfa381dc11,[],2018-02-23T05:15:00Z,0,false
[],2018-02-23T19:45:00Z,https://cerner.rev.vbrick.com/#/events/9affac23-7cb4-4c0f-a30d-d0fdee917bdd,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,February Community Connect,[],15,false,null,null,null,9affac23-7cb4-4c0f-a30d-d0fdee917bdd,[],2018-02-23T18:45:00Z,0,false
[],2018-02-27T04:00:00Z,https://cerner.rev.vbrick.com/#/events/94c8a847-4504-4d42-827f-f5555868a45a,,AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Livestream Test Monday,[],15,false,null,null,null,94c8a847-4504-4d42-827f-f5555868a45a,[],2018-02-26T02:00:00Z,0,false
[],2018-02-27T21:15:00Z,https://cerner.rev.vbrick.com/#/events/d0527d97-c1b4-41c7-bd7d-dd50f8b6b97e,"<p>Brian McClendon, a machine learning and big data researcher at KU, former VP of Engineering at Google, and former VP of Maps, and Business Platform at Uber, will be giving a talk on big data and machine learning that we want to live stream and record for our Cerner Engineering YouTube TechTalks channel.</p>",AllUsers,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Data Science and Machine Learning: Lessons from the Field,[],15,false,null,null,null,d0527d97-c1b4-41c7-bd7d-dd50f8b6b97e,[],2018-02-27T19:45:00Z,0,false
[],2018-02-28T21:45:00Z,https://cerner.rev.vbrick.com/#/events/37c7c78b-19ee-421a-973e-8b7a753274f8,,AllUsers,"{name:Donnie Breish,id:8e3d2b39-6446-432e-895f-9e826e58c1b8,username:db043793}",null,false,Lighting Test,[],15,false,null,null,null,37c7c78b-19ee-421a-973e-8b7a753274f8,[],2018-02-28T20:30:00Z,0,false
[],2018-03-02T06:15:00Z,https://cerner.rev.vbrick.com/#/events/b6a4ab89-b6cd-4dca-8178-38ea5f9783f5,"<p>To Resolve Multicast Issue in GTP office</p>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream,[],15,false,null,null,null,b6a4ab89-b6cd-4dca-8178-38ea5f9783f5,[],2018-03-01T14:15:00Z,0,false
[],2018-03-05T15:20:00Z,https://cerner.rev.vbrick.com/#/events/22ffe530-e55b-413e-8b5d-20ff21d8e917,"<p>Location: H2 A wing 9th floor Cafe</p>",AllUsers,"{name:Sadanand G,id:bb8647c3-bb00-4f2d-a1ff-6de1cd242c08,username:sg052597}",null,false,India Test Stream,[],15,false,null,null,null,22ffe530-e55b-413e-8b5d-20ff21d8e917,[],2018-03-05T14:20:00Z,0,false
[],2018-03-07T06:00:00Z,https://cerner.rev.vbrick.com/#/events/48423025-61d7-4566-9afc-888fbca40309,,Private,"{name:Kevin Russo,id:f0531908-a49c-4b80-810c-37c39a255ae2,username:kr042954}",null,false,IC Event Center Test,[],15,false,null,null,null,48423025-61d7-4566-9afc-888fbca40309,[],2018-03-06T20:00:00Z,0,false
[],2018-03-06T23:15:00Z,https://cerner.rev.vbrick.com/#/events/2025580f-7c16-48d0-b227-ae7513fb346f,,Private,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Compensation Manager Training #1,[],15,false,null,null,null,2025580f-7c16-48d0-b227-ae7513fb346f,[],2018-03-06T21:45:00Z,0,false
[],2018-03-07T14:15:00Z,https://cerner.rev.vbrick.com/#/events/f349a6e7-1377-479e-85aa-a77f8d8cb976,,Private,"{name:Austin Hable,id:d7cb9be9-3363-4e40-9264-8589157f6cc9,username:ah045906}",null,false,Compensation Manager Training #2,[],15,false,null,null,null,f349a6e7-1377-479e-85aa-a77f8d8cb976,[],2018-03-07T12:45:00Z,0,false
[],2018-03-07T20:30:00Z,https://cerner.rev.vbrick.com/#/events/0c2920fd-a568-4595-a4f6-f89f721fa068,"<p>Growing a garden offers immense health benefits beyond just eating more veggies. This March, Cary and Dianna, two of our Healthe Clinic Registered Dietitians, will discuss how to grow a garden with a ‘culinary medicine’ focus. In this presentation you will learn about different plants, their health benefits, as well as how to add them into your daily eating pattern. Recipes, tangible growing tips, and a vibrant way of thinking about your food will be shared.</p><p><em>Audio will come from your device's speakers. There is not a conference call for this webinar.</em></p><p><strong>*Please Note*</strong><em><span style=color: rgb(87, 87, 87)> </span></em><strong><em>The session will be available over Cerner Associate Live Broadcast on that day and time. </em></strong><strong>You will not be able to access the webcast over a VPN connection. Currently, the webcast will only work with Google Chrome, Firefox, IE, Safari, iOS, and Android. </strong></p><p><strong><span style=color: rgb(255, 0, 0)><u>TO EARN HLwR POINTS:</u> You must watch the entirety of this class. You will automatically receive points within two&nbsp;weeks of the class&nbsp;date. (You DO NOT need to email&nbsp;three things learned). </span></strong></p><p>Please contact Associate Support for any technical issues at 1-Help (816.201.4357).</p>",AllUsers,"{name:Samantha McCullough,id:e297e29e-133b-4d3f-b87d-71bd5406c606,username:sm033486}",null,false,Culinary Medicine (Garden Series),[],15,false,null,null,null,0c2920fd-a568-4595-a4f6-f89f721fa068,[],2018-03-07T19:30:00Z,0,false
